quote,poet name,poem title,published in
"The day writes itself on paper
as the hours unravel into the distance
How do I explain to you
where I am going?",Aaron Lee,Notes from a Diary,Five Right Angles
"I have no diary. All that needs to be said
disappears like ink, as simply 
as the sun will set today.
This is the loss I live for.",Aaron Lee,Notes from a Diary,Five Right Angles
"When, freed of the world's static
God's word grows loud
And the silences - His, mine - speak.",Aaron Maniam,Standing Still,Morning at Memory's Border
"But whatever the names they eventually take,
I know they are there, my white poems, margin-dwellers
For now, reminders that heat is strongest which is
Centre-pale.",Aaron Maniam,White Poems,Lines Spark Code
"When I awoke I was twenty, being asked
If I had a happy childhood. Yes, the one
We all have: filled to the brim
With the love of absent things.",Alfian Sa'at,Autobiography,A History of Amnesia
,,,
Rooms the size of night. Perfect quiet. Space at last to dream of islands without end.,Alvin Pang,Upgrading,City of Rain
"I can have
whatever I want as long as it’s something on offer.",Alvin Pang,What it Means to be Landless,When the Barbarians Arrive
"In leaving,
a kind of clarity is published. A sort of speech

delivered by absence, the news broken
as bones are, the skin pressed blue, illegible.",Alvin Pang,Token Strings,What Happened: Poems 1997-2017
"a path
a grass hut
a scroll on the alcove wall
a single floral spray",Angeline Yap,tea,closing my eyes to listen
,,,
"syurga itu pasti
atau hidup ini rugi

paradise is certain
or is this life already lost",Aqmal N,Jalan Idabat (Al-Firdaus Mosque),Dumpra
,Arthur Yap,,
,,,
"The words
of my friends, the distances in their stillness, the miles
between their births and deaths, they are here. I feel
a door opening on the edge of our lives.",Boey Kim Cheng,Day of No Name,Days of No Name
"Did he roll it in his mouth, taste
its foreign plosive, swallow it
whole like a ball of rice,
and spit it out Boey,
the pig-tailed coolie in the new colony?",Boey Kim Cheng,Plum Blossom or Quong Tart at the QVB,After the Fire
"
The hour hangs motionless, before
A rising sigh along the shore
Heralds the returning sea",Cecile Parrish,"Low Tide, Johore",Poems
"
And prays a pale and alien cross
For my deficiency of tears
To reconcile the blinded stone",Cecile Parrish,Bidadari,Poems
"one day we will have to find the sea and sky
in another human face.",Chandran Nair,again thinking,once the horsemen and other poems
